sample,power(W),gpu_util(%),core_clock(MHz),mem_clock(MHz),timestamp_ns,temp(C),energy(mJ)
0,74.4610,0,345,2619,1767561383275868498,36,40333712
1,74.4610,0,345,2619,1767561383280131300,36,40333712
2,74.4610,0,345,2619,1767561383291363453,36,40333712
3,74.4610,0,345,2619,1767561383296650732,36,40333712
4,74.4610,0,345,2619,1767561383301093053,36,40333712
5,74.4610,0,345,2619,1767561383309235842,36,40333712
6,74.4610,0,345,2619,1767561383314409808,36,40333712
7,74.4610,0,345,2619,1767561383318788738,36,40333712
8,74.4610,0,345,2619,1767561383323037876,36,40333712
9,74.4610,0,345,2619,1767561383329664317,36,40333712
10,74.4610,0,345,2619,1767561383333810160,36,40333712
11,74.4610,0,345,2619,1767561383337894210,36,40333712
12,74.4610,0,345,2619,1767561383343396655,36,40350471
13,74.4490,0,345,2619,1767561383359703448,36,40350471
14,74.4490,0,345,2619,1767561383363844170,36,40350471
15,74.4490,0,345,2619,1767561383370411252,36,40350471
16,74.4490,0,345,2619,1767561383374831813,36,40350471
17,74.4490,0,345,2619,1767561383378810712,36,40350471
18,74.4490,0,345,2619,1767561383385827361,36,40350471
19,74.4490,0,345,2619,1767561383393274664,36,40350471
20,74.4490,0,345,2619,1767561383397310266,36,40350471
21,74.4490,0,345,2619,1767561383401382605,36,40350471
22,74.4490,0,345,2619,1767561383409490002,36,40350471
23,74.4490,0,345,2619,1767561383415984571,36,40350471
24,74.4490,0,345,2619,1767561383420332396,36,40350471
25,74.4490,0,345,2619,1767561383428469585,36,40350471
26,74.4490,0,345,2619,1767561383432588515,36,40350471
27,74.4490,0,345,2619,1767561383437198388,36,40350471
28,74.4490,0,345,2619,1767561383442957409,36,40366853
29,74.4490,0,345,2619,1767561383463071486,36,40366853
30,74.4490,0,345,2619,1767561383471924064,36,40366853
31,74.3850,0,345,2619,1767561383476071570,36,40366853
32,74.3850,0,345,2619,1767561383480442116,36,40366853
33,74.3850,0,345,2619,1767561383494994674,36,40366853
34,74.3850,0,345,2619,1767561383568031901,36,40383588
