size,iteration,start_ts,stop_ts,time(ms)
32768,-21,1767559972911177483,1767559974919307349,2008.13
32768,-20,1767559974919367956,1767559975029375736,110
32768,-19,1767559975029404728,1767559975117046098,87.6348
32768,-18,1767559975117057298,1767559975204097264,87.0331
32768,-17,1767559975204106480,1767559975289619835,85.5069
32768,-16,1767559975289627419,1767559975374937895,85.3043
32768,-15,1767559975374946439,1767559975459665976,84.7133
32768,-14,1767559975459673656,1767559975544961285,85.2815
32768,-13,1767559975544968933,1767559975630244720,85.2696
32768,-12,1767559975630251888,1767559975716226647,85.9683
32768,-11,1767559975716233975,1767559975801774050,85.5338
32768,-10,1767559975801781346,1767559975887052815,85.2653
32768,-9,1767559975887060494,1767559975972587897,85.5201
32768,-8,1767559975972595449,1767559976058485985,85.8836
32768,-7,1767559976058494049,1767559976144482504,85.9822
32768,-6,1767559976144490792,1767559976230321552,85.8237
32768,-5,1767559976230329168,1767559976315978650,85.6437
32768,-4,1767559976315986361,1767559976402179967,86.1876
32768,-3,1767559976402187487,1767559976487756969,85.5634
32768,-2,1767559976487764105,1767559976573337715,85.568
32768,-1,1767559976573345011,1767559976659696663,86.3457
32768,0,1767559976659703703,1767559976745901404,86.191
32768,1,1767559976745909020,1767559976831181801,85.2665
32768,2,1767559976831189385,1767559976916375095,85.1793
32768,3,1767559976916382646,1767559977004950441,88.5614
32768,4,1767559977004958152,1767559977090219957,85.2554
32768,5,1767559977090227477,1767559977176103005,85.8691
32768,6,1767559977176110397,1767559977264391601,88.2756
32768,7,1767559977264401329,1767559977352293929,87.8865
32768,8,1767559977352301993,1767559977438233392,85.9251
32768,9,1767559977438242544,1767559977523418334,85.1692
32768,10,1767559977523426654,1767559977613203558,89.7706
32768,11,1767559977613210918,1767559977702636241,89.4195
32768,12,1767559977702643409,1767559977789163699,86.514
32768,13,1767559977789170867,1767559977875075515,85.8977
32768,14,1767559977875082811,1767559977963072082,87.9831
32768,15,1767559977963079218,1767559978050713899,87.6277
32768,16,1767559978050721579,1767559978136674258,85.9461
32768,17,1767559978136681682,1767559978221888512,85.2009
32768,18,1767559978221895744,1767559978307077869,85.1758
32768,19,1767559978307084781,1767559978394896645,87.8058
32768,20,1767559978394906117,1767559978481175210,86.2626
32768,21,1767559978481182730,1767559978567704332,86.5153
32768,22,1767559978567711276,1767559978652309919,84.5924
32768,23,1767559978652316958,1767559978738069543,85.746
32768,24,1767559978738076391,1767559978823607282,85.524
32768,25,1767559978823614130,1767559978909458426,85.8383
32768,26,1767559978909465306,1767559978995744575,86.2728
32768,27,1767559978995752734,1767559979081362216,85.6033
32768,28,1767559979081369608,1767559979166625493,85.2485
32768,29,1767559979166632597,1767559979252036065,85.397
32768,30,1767559979252042881,1767559979338988576,86.9394
32768,31,1767559979338995104,1767559979425320164,86.3188
32768,32,1767559979425327396,1767559979511027726,85.6937
32768,33,1767559979511035789,1767559979596313114,85.2709
32768,34,1767559979596320570,1767559979681604615,85.2784
32768,35,1767559979681611943,1767559979767046929,85.4289
32768,36,1767559979767055569,1767559979853145623,86.0838
32768,37,1767559979853152855,1767559979938560803,85.4015
32768,38,1767559979938567939,1767559980024750280,86.1764
32768,39,1767559980024757832,1767559980110873038,86.1089
32768,40,1767559980110880046,1767559980196016988,85.1308
32768,41,1767559980196023772,1767559980281478535,85.4484
32768,42,1767559980281485831,1767559980367451118,85.9592
32768,43,1767559980367458702,1767559980453414101,85.949
32768,44,1767559980453421589,1767559980538882752,85.4543
32768,45,1767559980538890400,1767559980624658633,85.7614
32768,46,1767559980624666025,1767559980709508569,84.836
32768,47,1767559980709516185,1767559980794744934,85.2218
32768,48,1767559980794815494,1767559980880695949,85.874
32768,49,1767559980880704173,1767559980966784916,86.0744
32768,50,1767559980966792691,1767559981053128952,86.3298
32768,51,1767559981053139191,1767559981138595651,85.4507
32768,52,1767559981138603011,1767559981223832624,85.2226
32768,53,1767559981223839504,1767559981309822839,85.9772
32768,54,1767559981309830135,1767559981396305754,86.4691
32768,55,1767559981396313210,1767559981482246849,85.9269
32768,56,1767559981482254273,1767559981567817867,85.5563
32768,57,1767559981567824907,1767559981653782770,85.9521
32768,58,1767559981653789746,1767559981739262078,85.4663
32768,59,1767559981739269726,1767559981825195941,85.9202
32768,60,1767559981825203077,1767559981910494002,85.2851
32768,61,1767559981910565681,1767559981995830942,85.2591
32768,62,1767559981995839230,1767559982081735941,85.8909
32768,63,1767559982081744549,1767559982167723148,85.9725
32768,64,1767559982167730188,1767559982253701075,85.9646
32768,65,1767559982253711603,1767559982339137055,85.4195
32768,66,1767559982339144863,1767559982425406915,86.2555
32768,67,1767559982425413603,1767559982511704136,86.2841
32768,68,1767559982511710664,1767559982597687023,85.9698
32768,69,1767559982597694063,1767559982683078939,85.3787
32768,70,1767559982683085563,1767559982768253576,85.1622
32768,71,1767559982768260008,1767559982853864114,85.5981
32768,72,1767559982853870866,1767559982939844057,85.9675
32768,73,1767559982939850841,1767559983025324132,85.4669
32768,74,1767559983025331364,1767559983111282156,85.945
32768,75,1767559983111289580,1767559983197216787,85.9212
32768,76,1767559983197224115,1767559983283183834,85.9533
32768,77,1767559983283190970,1767559983369141025,85.9435
32768,78,1767559983369148129,1767559983454671372,85.5168
32768,79,1767559983454678700,1767559983539872665,85.1876
32768,80,1767559983539879961,1767559983625701986,85.8162
