sample,power(W),gpu_util(%),core_clock(MHz),mem_clock(MHz),timestamp_ns,temp(C),energy(mJ)
0,95.5110,0,345,2619,1767561488799209054,36,78092705
1,95.5110,0,345,2619,1767561488804852531,36,78092705
2,95.5110,0,345,2619,1767561488811526081,36,78092705
3,95.5110,0,345,2619,1767561488816306460,36,78092705
4,95.5110,0,345,2619,1767561488820473021,36,78092705
5,95.5110,0,345,2619,1767561488827404937,36,78092705
6,95.5110,0,345,2619,1767561488834672082,36,78092705
7,95.5110,0,345,2619,1767561488838763027,36,78092705
8,95.5110,0,345,2619,1767561488842881332,36,78092705
9,95.5110,0,345,2619,1767561488851078678,36,78092705
10,95.5110,0,345,2619,1767561488855216215,36,78092705
11,95.5110,0,345,2619,1767561488859307864,36,78092705
12,95.5110,0,345,2619,1767561488864807438,36,78092705
13,95.5110,0,345,2619,1767561488871490171,36,78092705
14,95.5110,0,345,2619,1767561488875771035,36,78092705
15,95.5110,0,345,2619,1767561488879948892,36,78092705
16,95.5110,0,345,2619,1767561488885857328,36,78110349
17,95.5110,0,345,2619,1767561488901329338,36,78110349
18,95.5110,0,345,2619,1767561488909779675,36,78110349
19,95.5110,0,345,2619,1767561488913798237,36,78110349
20,95.5110,0,345,2619,1767561488917960669,36,78110349
21,95.5110,0,345,2619,1767561488922173469,36,78110349
22,95.5110,0,345,2619,1767561488937010125,36,78110349
23,95.5110,0,345,2619,1767561488942043591,36,78110349
24,95.5110,0,345,2619,1767561488950315497,36,78110349
25,95.5110,0,345,2619,1767561488954471561,36,78110349
26,95.5110,0,345,2619,1767561488958984039,36,78110349
27,95.5110,0,345,2619,1767561488964738268,36,78110349
28,95.5110,0,345,2619,1767561488971320234,36,78110349
29,95.5110,0,345,2619,1767561488975327052,36,78110349
30,95.5110,0,345,2619,1767561488979808458,36,78110349
31,95.5010,0,345,2619,1767561488985374272,36,78127709
32,95.5010,0,345,2619,1767561489005914053,36,78127709
33,95.5010,0,345,2619,1767561489014027399,36,78127709
34,95.5010,0,345,2619,1767561489017885002,36,78127709
35,95.5010,0,345,2619,1767561489021876780,36,78127709
36,95.5010,0,345,2619,1767561489033318614,36,78127709
37,95.5010,0,345,2619,1767561489037664949,36,78127709
38,95.5010,0,345,2619,1767561489041796182,36,78127709
39,95.5010,0,345,2619,1767561489049811417,36,78127709
40,95.5010,0,345,2619,1767561489053997946,36,78127709
41,95.5010,0,345,2619,1767561489058716790,36,78127709
42,95.5010,0,345,2619,1767561489072996426,36,78127709
43,95.5010,0,345,2619,1767561489139761010,36,78145116
44,95.5010,0,885,2619,1767561489144533934,36,78145116
45,95.5010,0,885,2619,1767561489151088957,36,78145116
46,95.5010,0,885,2619,1767561489156678067,36,78145116
47,95.5010,0,885,2619,1767561489160555573,36,78145116
48,96.0540,0,885,2619,1767561489165032627,36,78145116
49,96.0540,0,885,2619,1767561489171682625,36,78145116
50,96.0540,0,885,2619,1767561489175891265,36,78145116
51,96.0540,0,885,2619,1767561489181014907,36,78145116
52,96.0540,0,885,2619,1767561489201616767,36,78163345
53,96.0540,0,885,2619,1767561489205661057,36,78163345
54,96.0540,0,885,2619,1767561489212215823,36,78163345
55,96.0540,0,885,2619,1767561489218138883,36,78163345
56,96.0540,0,885,2619,1767561489223096157,36,78163345
57,96.0540,0,885,2619,1767561489233743789,36,78163345
58,96.0540,0,885,2619,1767561489238152747,36,78163345
59,96.0540,0,885,2619,1767561489242788905,36,78163345
60,96.0540,0,885,2619,1767561489251010762,36,78163345
61,96.0540,0,885,2619,1767561489254943372,36,78163345
62,96.0540,0,885,2619,1767561489260519202,36,78163345
63,96.0540,0,885,2619,1767561489264668355,36,78163345
64,96.0540,0,885,2619,1767561489271268882,36,78163345
65,96.6520,0,885,2619,1767561489275162132,36,78163345
66,96.6520,0,885,2619,1767561489279269909,36,78163345
67,96.6520,0,885,2619,1767561489284888554,36,78180895
68,96.6520,0,885,2619,1767561489300490197,36,78180895
69,96.6520,0,885,2619,1767561489309744239,36,78180895
70,96.6520,0,885,2619,1767561489313798384,36,78180895
71,96.6520,0,885,2619,1767561489317777618,36,78180895
72,96.6520,0,885,2619,1767561489322143569,36,78180895
73,96.6520,0,885,2619,1767561489333218942,36,78180895
74,96.6520,0,885,2619,1767561489337572445,36,78180895
75,96.6520,0,885,2619,1767561489341537215,36,78180895
76,96.6520,0,885,2619,1767561489349630881,36,78180895
77,96.6520,0,885,2619,1767561489353640739,36,78180895
78,96.6520,0,885,2619,1767561489357853508,36,78180895
79,96.6520,0,885,2619,1767561489361817350,36,78180895
80,96.6520,0,885,2619,1767561489369897929,36,78180895
81,96.6520,0,885,2619,1767561489376772820,36,78180895
82,96.6520,0,885,2619,1767561489380743223,36,78180895
83,97.1050,0,885,2619,1767561489387438628,36,78198958
84,97.1050,0,885,2619,1767561489401765016,36,78198958
85,97.1050,0,885,2619,1767561489409819899,36,78198958
86,97.1050,0,885,2619,1767561489413625182,36,78198958
87,97.1050,0,885,2619,1767561489417385922,36,78198958
88,97.1050,0,885,2619,1767561489421368900,36,78198958
89,97.1050,0,885,2619,1767561489429073290,36,78198958
90,97.1050,0,885,2619,1767561489435645880,36,78198958
91,97.1050,0,885,2619,1767561489439485147,36,78198958
92,97.1050,0,885,2619,1767561489444545141,36,78198958
93,97.1050,0,885,2619,1767561489451172035,36,78198958
94,97.1050,0,885,2619,1767561489455420323,36,78198958
95,97.1050,0,885,2619,1767561489459260134,36,78198958
96,97.1050,0,885,2619,1767561489464705405,36,78198958
97,97.1050,0,885,2619,1767561489471234539,36,78198958
98,97.1050,0,885,2619,1767561489475197710,36,78198958
99,97.1050,0,885,2619,1767561489479045361,36,78198958
100,97.1050,0,885,2619,1767561489483106610,36,78216449
101,97.1050,0,885,2619,1767561489500323920,36,78216449
102,97.1050,0,885,2619,1767561489504571632,36,78216449
103,97.5880,0,885,2619,1767561489511094847,36,78216449
104,97.5880,0,885,2619,1767561489514892610,36,78216449
105,97.5880,0,885,2619,1767561489518795077,36,78216449
106,97.5880,0,885,2619,1767561489524579065,36,78216449
107,97.5880,0,885,2619,1767561489534815243,36,78216449
108,97.5880,0,885,2619,1767561489538569807,36,78216449
109,97.5880,0,885,2619,1767561489542576241,36,78216449
110,97.5880,0,885,2619,1767561489550658708,36,78216449
111,97.5880,0,885,2619,1767561489555345456,36,78216449
112,97.5880,0,885,2619,1767561489565166854,36,78216449
113,97.5880,0,885,2619,1767561489571674069,36,78216449
114,97.5880,0,885,2619,1767561489575241979,36,78216449
115,97.5880,0,885,2619,1767561489578856287,36,78216449
116,97.5880,0,885,2619,1767561489583027552,36,78234828
117,97.5880,0,885,2619,1767561489600658683,36,78234828
118,97.5880,0,885,2619,1767561489604770108,36,78234828
119,97.5880,0,1980,2619,1767561489611214091,36,78234828
120,97.5880,0,1980,2619,1767561489615654665,36,78234828
121,97.5880,0,1980,2619,1767561489619317325,36,78234828
122,97.5880,0,1980,2619,1767561489623865163,36,78234828
123,97.5880,0,1980,2619,1767561489633339588,36,78234828
124,100.0140,0,1980,2619,1767561489636738090,36,78234828
125,100.0140,0,1980,2619,1767561489640192336,36,78234828
126,100.0140,0,1980,2619,1767561489644713358,36,78234828
127,100.0140,0,1980,2619,1767561489651060702,36,78234828
128,100.0140,0,1980,2619,1767561489655539964,36,78234828
